date,region,product,sales,customers,orders
2026-07-01,South,AI Platform,5379.8,124,66
2026-07-01,South,Cloud Tools,3008.98,110,51
2026-07-01,South,Data Services,2723.25,92,47
2026-07-01,North,AI Platform,4408.56,94,54
2026-07-01,North,Cloud Tools,3026.58,85,46
2026-07-01,North,Data Services,1913.21,68,35
2026-07-01,West,AI Platform,4859.5,114,63
2026-07-01,West,Cloud Tools,2980.11,87,47
2026-07-01,West,Data Services,2334.25,77,39
2026-07-01,East,AI Platform,4240.86,94,53
2026-07-01,East,Cloud Tools,2915.55,93,47
2026-07-01,East,Data Services,2043.65,63,33
2026-07-02,South,AI Platform,4819.19,121,65
2026-07-02,South,Cloud Tools,3832.97,108,58
2026-07-02,South,Data Services,2628.27,86,45
2026-07-02,North,AI Platform,4663.74,102,59
2026-07-02,North,Cloud Tools,2995.07,89,46
2026-07-02,North,Data Services,2161.73,79,38
2026-07-02,West,AI Platform,4372.6,105,57
2026-07-02,West,Cloud Tools,3385.91,102,50
2026-07-02,West,Data Services,2049.82,69,35
2026-07-02,East,AI Platform,4494.21,96,55
2026-07-02,East,Cloud Tools,2557.2,75,38
2026-07-02,East,Data Services,1729.8,67,32
2026-07-03,South,AI Platform,5191.99,116,66
2026-07-03,South,Cloud Tools,3553.48,109,55
2026-07-03,South,Data Services,2919.89,96,49
2026-07-03,North,AI Platform,3963.1,96,52
2026-07-03,North,Cloud Tools,2487.9,77,40
2026-07-03,North,Data Services,2322.6,75,39
2026-07-03,West,AI Platform,4789.19,113,63
2026-07-03,West,Cloud Tools,2513.05,91,43
2026-07-03,West,Data Services,2078.69,71,35
2026-07-03,East,AI Platform,3951.78,86,47
2026-07-03,East,Cloud Tools,2416.6,76,40
2026-07-03,East,Data Services,1875.07,67,33
2026-07-04,South,AI Platform,5922.45,144,74
2026-07-04,South,Cloud Tools,3448.38,118,59
2026-07-04,South,Data Services,3058.11,103,52
2026-07-04,North,AI Platform,5150.95,113,67
2026-07-04,North,Cloud Tools,2982.86,88,46
2026-07-04,North,Data Services,2962.1,93,50
2026-07-04,West,AI Platform,5175.41,132,69
2026-07-04,West,Cloud Tools,2876.96,97,49
2026-07-04,West,Data Services,2538.32,95,48
2026-07-04,East,AI Platform,4505.73,97,55
2026-07-04,East,Cloud Tools,3935.48,102,60
2026-07-04,East,Data Services,1885.81,70,32
2026-07-05,South,AI Platform,5409.75,132,72
2026-07-05,South,Cloud Tools,4069.99,116,63
2026-07-05,South,Data Services,2608.61,102,50
2026-07-05,North,AI Platform,5262.71,110,61
